"SERIALNO","SPORDER","PWGTP","WGTP","AGEP","SEX","ESR","MAR","DIS","Boro","HousingStatus","EducAttain","PreTaxIncome_PU","WAGP_adj","INTP_adj","SEMP_adj","SSP_adj","SSIP_adj","RETP_adj","MRGP_adj","RNTP_adj","NYCgov_MOOP","NYCgov_MedSpending","NYCgov_MedPremiums","NYCgov_HEAP","NYCgov_WIC","NYCgov_SNAP","NYCgov_SchoolLunch","NYCgov_SchoolBreakfast","NYCgov_Nutrition","Off_Threshold","Off_Pov_Stat","NYCgov_Threshold","NYCgov_Pov_Stat","NYCgov_PovGapIndex","NYCgov_PovGap"
327297,1,39,39,61,2,1,3,2,2,3,3,18640.378,18640.378,0,0,0,0,0,0,1309.8644,1293.987,192.0078,1101.979,21,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
327303,1,63,63,74,2,6,1,1,4,8,1,42318.696,0,0,0,27204.876,0,0,0,0,3517.998,905.0313,2612.967,0,0,0,0,0,0,24755,2,39630.4432054192,2,0,0
327312,2,72,72,55,2,6,1,2,2,9,3,21824.35608,665.00808,1007.588,0,0,0,0,906.8292,0,7418.394,1131.29,6287.104,0,0,0,0,0,0,14507,2,21174.1530548727,1,0.372494071722031,7887.24658203125
327316,1,151,151,58,1,6,5,1,1,3,1,4836.4224,0,0,0,0,0,0,0,1209.1056,573.9477,573.9477,0,21,0,2447,0,0,2447,12486,1,15017.1298261508,2,0,0
327495,2,115,103,59,2,6,1,1,5,9,2,100154.2472,0,0,0,3224.2816,0,0,1309.8644,0,10582.22,5762.31,4819.915,0,0,0,0,0,0,24755,2,39630.4432054192,2,0,0
327507,1,130,130,30,1,1,5,2,4,6,4,42318.696,42318.696,0,0,0,0,0,0,2317.4524,2122.423,449.4021,1673.021,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
327519,1,65,65,52,2,1,4,2,2,6,2,12091.056,0,0,12091.056,0,0,0,0,856.4498,84.06828,84.06828,0,35,0,2328,0,0,2328,12486,1,15017.1298261508,1,0.147935271263123,2221.56323242188
327538,2,91,84,6,1,NA,5,2,2,1,1,30832.1928,0,0,0,0,0,0,0,765.76688,7225.306,2481.571,4743.734,21,637.2,2328,585.2,290.5,3203.7,24339,2,32401.9996992759,2,0,0
327591,5,91,81,6,2,NA,5,2,2,4,1,40404.2788,0,0,0,0,0,0,0,1410.6232,1984.469,905.0314,1079.437,35,0,9502,1170.4,290.5,10962.9,29360,2,39630.4432054192,2,0,0
327615,1,74,74,41,2,1,3,2,2,6,4,322428.16,171289.96,0,151138.2,0,0,0,0,1511.382,8546.942,6367.394,2179.548,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
327635,3,118,108,29,2,1,5,2,2,6,4,63478.044,63478.044,0,0,0,0,0,0,3022.764,4697.445,3078.352,1619.093,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
327670,2,57,52,48,1,1,1,2,2,9,2,139047.144,59447.692,0,0,0,0,0,3627.3168,0,15058.6,2604.041,12454.56,35,637.2,16365,0,0,16365,53413,2,77878.8347253198,2,0,0
327746,1,103,103,25,1,1,5,2,3,4,3,37280.756,0,0,15113.82,0,0,0,0,1209.1056,760.7661,760.7661,0,0,0,0,0,0,0,16072,2,21174.1530548727,2,0,0
327800,2,112,104,67,2,1,1,1,2,9,1,229125.5112,12091.056,0,0,8060.704,0,0,1007.588,0,8704.7,6612.334,2092.366,0,0,0,0,0,0,43776,2,58634.8155559939,2,0,0
327866,1,92,92,50,2,1,2,2,3,3,4,5481.27872,5440.9752,40.30352,0,0,0,0,0,685.15984,36.3258,36.3258,0,0,0,0,0,0,0,16543,1,22660.9278954915,1,0.299435883760452,6785.4951171875
327906,1,73,74,74,2,6,2,2,2,8,4,52092.2996,0,40303.52,0,11788.7796,0,0,0,0,925.2908,445.2505,480.0403,0,0,0,0,0,0,11511,2,15017.1298261508,2,0,0
327917,1,139,139,78,2,6,2,2,4,8,4,27809.4288,0,6750.8396,0,21058.5892,0,0,0,0,1307.126,282.3034,1024.823,0,0,0,0,0,0,11511,2,15017.1298261508,2,0,0
327925,1,157,157,55,1,6,5,2,1,3,2,21562.3832,0,0,0,12494.0912,0,0,0,685.15984,20.7576,20.7576,0,21,0,2611,0,0,2611,16072,2,21174.1530548727,2,0,0
327998,1,124,124,33,2,1,5,2,4,4,4,67508.396,67508.396,0,0,0,0,0,0,1410.6232,4089.247,3591.065,498.1824,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
328054,2,71,66,65,2,6,1,2,1,6,4,93000.3724,0,0,0,11284.9856,0,0,0,1209.1056,2588.473,595.7431,1992.73,0,0,0,0,0,0,14507,2,21174.1530548727,2,0,0
328082,1,136,136,38,2,1,4,2,1,1,4,35064.0624,18136.584,0,0,0,0,0,0,916.90508,90.29557,90.29557,0,21,0,93,585.2,290.5,968.7,16543,2,22660.9278954915,2,0,0
328301,1,82,82,81,2,6,2,2,4,8,1,21864.6596,0,1309.8644,0,18338.1016,0,2216.6936,0,0,2429.594,463.9324,1965.662,0,0,0,0,0,0,11511,2,15017.1298261508,2,0,0
